exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
86.0,g,220.45275,-1.67675,DECaLS_17075_g,830732
161.0,r,13.5719583333333,-7.14780555555556,DECaLS_44416_r,679904
59.0,r,174.381,-7.028,DECaLS_7004_r,432739
62.0,r,158.219916666667,1.52152777777778,DECaLS_15871_r,393280
68.0,r,159.097083333333,0.00686111111111111,DECaLS_289_r,393278
109.0,z,159.931333333333,4.52833333333333,DECaLS_3452_z,393289
60.0,r,159.07925,3.02930555555556,DECaLS_3459_r,393284
62.0,r,135.788291666667,3.25033333333333,DECaLS_15691_r,393268
60.0,r,136.633458333333,1.62905555555556,DECaLS_15690_r,393273
112.0,z,159.966916666667,1.51233333333333,DECaLS_3464_z,393287
110.0,z,159.08075,3.02930555555556,DECaLS_3459_z,393288
62.0,r,134.88675,4.86288888888889,DECaLS_15692_r,393266
125.0,g,158.506,30.653,DECaLS_17887_g,535136
200.0,g,19.9177083333333,33.8348333333333,DECaLS_20736_g,779912
200.0,g,6.37695833333333,26.9709444444444,DECaLS_18039_g,663072
93.0,r,332.7685,3.23055555555556,DECaLS_43647_r,659998
94.0,r,165.552375,4.32680555555556,DECaLS_19327_r,635569
146.0,g,238.0945,12.7858055555556,DECaLS_31783_g,747342
93.0,g,137.19,-6.449,DECaLS_15657_g,720097
80.0,z,353.599458333333,-14.0308611111111,DECaLS_29710_z,659650
76.0,r,173.151958333333,-1.54755555555556,DECaLS_38806_r,746320
143.0,g,32.8587083333333,21.9741944444444,DECaLS_20779_g,763818
115.0,g,180.933,2.783,DECaLS_9623_g,819558
150.0,g,133.780583333333,31.9817777777778,DECaLS_26724_g,819845
143.0,z,221.883458333333,-4.8435,DECaLS_1205_z,642228
137.0,z,331.577,18.72,DECaLS_23647_z,346760
94.0,g,200.274541666667,10.5515555555556,DECaLS_9782_g,626507
150.0,g,133.948004166667,22.918,DECaLS_42507_g,819524
125.0,g,150.711,6.19,DECaLS_31716_g,510940
84.0,g,207.462083333333,13.9458333333333,DECaLS_9700_g,634134
79.0,r,318.796,9.663,DECaLS_27678_r,349223
89.0,r,355.845791666667,-11.0748611111111,DECaLS_45580_r,677740
106.0,g,148.010125,1.58033333333333,DECaLS_15823_g,511249
99.0,r,263.93475,22.5795,DECaLS_47073_r,771382
66.0,g,127.780995833333,-6.352,DECaLS_46065_g,830618
56.0,r,224.73,6.392,DECaLS_16997_r,547808
104.0,g,202.500541666667,-7.71241666666667,DECaLS_44939_g,650167
80.0,z,350.962208333333,-7.05888888888889,DECaLS_29780_z,659643
66.0,r,139.981,29.56,DECaLS_2119_r,393612
120.0,g,248.957375,27.0667222222222,DECaLS_15200_g,747120
56.0,g,327.541004166667,-4.079,DECaLS_52275_g,769009
175.0,r,315.7175,9.67458333333333,DECaLS_36817_r,677945
101.0,g,131.952,13.92,DECaLS_26527_g,511208
91.0,r,221.478041666667,30.9547777777778,DECaLS_16122_r,626169
163.0,z,124.249995833333,23.263,DECaLS_10790_z,829981
104.0,g,325.399,6.362,DECaLS_11866_g,348779
57.0,r,239.503004166667,6.758,DECaLS_7_r,830435
120.0,z,122.934,22.813,DECaLS_42535_z,730381
59.0,r,214.651,14.131,DECaLS_17048_r,425790
125.0,g,27.101,26.438,DECaLS_36619_g,483741
173.0,z,225.918875,26.0290555555556,DECaLS_31989_z,647435
200.0,g,353.338995833333,22.755,DECaLS_23601_g,754125
104.0,g,23.5641666666667,21.4160555555556,DECaLS_2303_g,764751
125.0,g,325.627583333333,-14.2002222222222,DECaLS_11736_g,768667
108.0,g,334.851666666667,13.9791111111111,DECaLS_39577_g,780145
64.0,r,128.899,21.045,DECaLS_10744_r,392820
97.0,g,222.229916666667,21.7458333333333,DECaLS_31965_g,724236
80.0,z,139.420004166667,6.34,DECaLS_47488_z,719380
63.0,r,157.416,15.129,DECaLS_35070_r,731115
71.0,r,149.617,10.903,DECaLS_31666_r,522051
62.0,r,240.832004166667,7.795,DECaLS_15086_r,763150
87.0,g,266.934,15.55,DECaLS_49332_g,764087
200.0,g,11.1754583333333,26.1880555555556,DECaLS_18072_g,663783
80.0,g,155.25,12.279,DECaLS_3367_g,512273
137.0,g,155.896004166667,-3.14,DECaLS_31731_g,605072
125.0,g,250.305,23.74,DECaLS_46985_g,425142
58.0,r,333.68775,-9.26658333333333,DECaLS_13968_r,670286
79.0,r,205.576,-4.69,DECaLS_17209_r,535592
156.0,g,329.327875,-6.18411111111111,DECaLS_43561_g,662843
61.0,r,186.56875,29.7576666666667,DECaLS_41283_r,724190
88.0,g,350.964833333333,-7.05930555555556,DECaLS_29780_g,662337
110.0,g,214.784,-3.254,DECaLS_17157_g,535260
120.0,z,266.996875,27.7575,DECaLS_34644_z,769441
200.0,g,337.023041666667,4.703,DECaLS_43642_g,677972
250.0,z,333.487333333333,7.86641666666667,DECaLS_43616_z,678250
200.0,g,36.0880041666667,18.936,DECaLS_30565_g,690571
148.0,g,130.840004166667,19.646,DECaLS_42467_g,790668
133.0,g,32.4812083333333,7.96186111111111,DECaLS_26347_g,781005
175.0,g,211.73675,-0.113388888888889,DECaLS_33046_g,636063
68.0,r,180.296875,12.419,DECaLS_25442_r,720533
111.0,g,227.133416666667,1.54127777777778,DECaLS_32872_g,830742
200.0,g,124.572,23.216,DECaLS_26662_g,721140
100.0,r,202.777916666667,13.547,DECaLS_41501_r,746616
69.0,g,195.853333333333,11.8160555555556,DECaLS_9732_g,634119
123.0,g,71.1732083333333,0.978944444444445,DECaLS_46578_g,783118
80.0,z,33.9214166666667,23.5472222222222,DECaLS_20800_z,764331
200.0,g,328.9195,12.6815555555556,DECaLS_43555_g,767855
88.0,z,136.20175,24.6645,DECaLS_26656_z,807440
117.0,r,216.663166666667,14.1284444444444,DECaLS_32904_r,649468
113.0,g,262.388833333333,18.2045277777778,DECaLS_31196_g,763198
128.0,g,184.314,1.264,DECaLS_41403_g,745695
90.0,g,179.011583333333,19.4103888888889,DECaLS_3270_g,634426
123.0,g,253.814458333333,14.503,DECaLS_46978_g,770526
80.0,r,16.5975416666667,7.42061111111111,DECaLS_2374_r,694979
91.0,g,143.118,7.92,DECaLS_31680_g,820158
80.0,z,350.823958333333,-12.7860833333333,DECaLS_29744_z,659648
87.0,z,1.61404166666667,25.0445833333333,DECaLS_33895_z,774668
57.0,r,199.086958333333,16.3873055555556,DECaLS_25607_r,640606
140.0,g,215.873958333333,1.48955555555556,DECaLS_32983_g,661814
141.0,g,46.8276666666667,-9.48933333333333,DECaLS_24378_g,690593
250.0,z,157.358,32.4149722222222,DECaLS_2014_z,720117
107.0,g,201.913125,27.5373611111111,DECaLS_6693_g,659874
112.0,z,157.978791666667,32.2965277777778,DECaLS_33758_z,807448
125.0,r,194.448041666667,5.72308333333333,DECaLS_41492_r,649429
175.0,r,345.845083333333,-4.27933333333333,DECaLS_45732_r,677973
95.0,z,178.13375,-4.17911111111111,DECaLS_6984_z,608246
112.0,r,141.738,-8.112,DECaLS_47428_r,783977
200.0,g,39.504,15.902,DECaLS_46456_g,783103
101.0,g,143.901,0.0,DECaLS_15760_g,511237
72.0,g,198.379,-7.48,DECaLS_13197_g,536002
95.0,r,221.213041666667,15.6833888888889,DECaLS_31926_r,659546
125.0,r,184.321375,-4.32475,DECaLS_44874_r,649416
168.0,g,174.512708333333,26.75775,DECaLS_34958_g,724878
160.0,g,24.3,31.015,DECaLS_36622_g,789943
153.0,z,251.54275,32.2236111111111,DECaLS_18631_z,730931
53.0,r,189.264,25.747,DECaLS_25451_r,819901
110.0,g,313.454958333333,-9.55236111111111,DECaLS_662_g,763238
126.0,z,42.2185,12.7658888888889,DECaLS_30604_z,790955
129.0,g,260.911004166667,30.132,DECaLS_47884_g,746750
89.0,g,329.824291666667,26.5019166666667,DECaLS_8420_g,764147
58.0,r,31.9599583333333,31.3717222222222,DECaLS_36698_r,790911
125.0,g,166.711004166667,21.87,DECaLS_19122_g,725219
144.0,g,344.154,23.9203333333333,DECaLS_39468_g,781277
