,ra,dec,u,g,r,i,z,Y
0,16.0070833333333,-12.96775,False,False,False,True,False,False
1,297.083541666667,-34.8203055555556,False,False,False,False,True,False
2,11.6205833333333,-17.0435277777778,False,False,False,True,False,False
3,5.838375,-11.8338055555556,False,False,False,True,False,False
4,0.319666666666667,-39.1398333333333,False,False,False,True,False,False
5,80.7980833333333,-7.41833333333333,False,False,False,True,False,False
6,86.38825,-10.2146666666667,False,False,False,True,False,False
7,10.4473333333333,-14.38225,False,False,False,True,False,False
8,2.555,-39.0972222222222,False,False,False,True,False,False
9,6.771875,-16.9519166666667,False,False,False,True,False,False
10,127.0005,-2.91436111111111,False,False,False,True,False,False
11,155.722875,-20.9210555555556,False,False,False,True,False,False
12,97.07775,-20.0256111111111,False,False,False,True,False,False
13,119.195833333333,-5.38675,False,False,False,True,False,False
14,59.3245416666667,-9.82219444444444,False,False,False,True,False,False
15,76.4051666666667,-8.31391666666667,False,False,False,True,False,False
16,115.577958333333,-2.01627777777778,False,False,False,True,False,False
17,6.74370833333333,-10.4603055555556,False,False,False,True,False,False
18,22.02075,-8.77833333333333,False,False,False,True,False,False
19,86.3889166666667,-11.0889722222222,False,False,False,True,False,False
20,79.4367083333333,-6.49697222222222,False,False,False,True,False,False
21,121.591416666667,-13.0649722222222,False,False,False,True,False,False
22,303.556708333333,-36.4101666666667,False,False,False,False,True,False
23,83.59225,-6.5565,False,False,False,True,False,False
24,7.29575,-39.1024166666667,False,False,False,True,False,False
25,2.56475,-36.4441388888889,False,False,False,True,False,False
26,4.79691666666667,-41.7745277777778,False,False,False,True,False,False
27,2.56233333333333,-36.5096666666667,False,False,False,True,False,False
28,297.644083333333,-36.4623333333333,False,False,False,False,True,False
29,7.21079166666667,-39.0858055555556,False,False,False,True,False,False
30,2.64691666666667,-36.4603888888889,False,False,False,True,False,False
31,296.587416666667,-39.1697222222222,False,False,False,False,True,False
32,129.570541666667,-19.38875,False,False,False,True,False,False
33,128.614958333333,-2.91363888888889,False,False,False,True,False,False
34,121.079125,-5.36055555555556,False,False,False,True,False,False
35,125.235375,-17.4135833333333,False,False,False,True,False,False
36,129.253375,-4.49894444444444,False,False,False,True,False,False
37,126.010333333333,-14.6173611111111,False,False,False,True,False,False
38,99.1838333333333,-57.7974722222222,False,False,False,True,False,False
39,136.480875,-22.90325,False,False,False,True,False,False
40,133.317708333333,-19.7143888888889,False,False,False,True,False,False
41,93.862,-15.6047777777778,False,False,False,True,False,False
42,90.5839166666667,-9.28211111111111,False,False,False,True,False,False
43,86.408125,-8.39022222222222,False,False,False,True,False,False
44,83.5862083333333,-6.56722222222222,False,False,False,True,False,False
45,93.9795833333333,-19.1448611111111,False,False,False,True,False,False
46,100.099416666667,-18.2493333333333,False,False,False,True,False,False
47,95.13275,-13.8316944444444,False,False,False,True,False,False
48,84.9264166666667,-5.54933333333333,False,False,False,True,False,False
49,289.202958333333,-23.9714444444444,False,False,False,False,True,False
50,290.973541666667,-17.1050833333333,False,False,False,False,True,False
51,294.44775,-32.5915833333333,False,False,False,False,True,False
52,289.58675,-25.6189444444444,False,False,False,False,True,False
53,287.034666666667,-38.2714722222222,False,False,False,False,True,False
54,61.53,-1.788,False,False,False,True,False,False
55,286.269208333333,-34.98075,False,False,False,False,True,False
56,66.9306666666667,-11.6558611111111,False,False,False,True,False,False
57,281.602,-30.1783888888889,False,False,False,False,True,False
58,331.21125,-38.7900555555556,False,False,False,True,False,False
59,56.988625,-11.6635,False,False,False,True,False,False
60,330.432041666667,-35.9971666666667,False,False,False,True,False,False
61,317.651833333333,-10.0120555555556,False,False,False,True,False,False
62,281.86925,-31.833,False,False,False,False,True,False
63,284.525916666667,-35.8782777777778,False,False,False,False,True,False
64,284.2785,-25.0587222222222,False,False,False,False,True,False
65,283.871041666667,-32.5920833333333,False,False,False,False,True,False
66,286.835458333333,-29.1314722222222,False,False,False,False,True,False
67,317.29575,-17.6946944444444,False,False,False,True,False,False
68,319.275916666667,-17.0259166666667,False,False,False,True,False,False
69,282.859,-24.0642777777778,False,False,False,False,True,False
70,283.04975,-38.3990833333333,False,False,False,False,True,False
71,283.26175,-29.2875277777778,False,False,False,False,True,False
72,151.995208333333,-10.3607777777778,False,False,False,True,False,False
73,284.577083333333,-26.7288888888889,False,False,False,False,True,False
74,151.585041666667,-16.5636666666667,False,False,False,True,False,False
75,151.804625,-13.4612222222222,False,False,False,True,False,False
76,138.973583333333,-4.41916666666667,False,False,False,True,False,False
77,140.598208333333,-4.39736111111111,False,False,False,True,False,False
78,290.760666666667,-32.9391111111111,False,False,False,False,True,False
79,147.822375,-8.97305555555556,False,False,False,True,False,False
80,124.986916666667,-17.9515,False,False,False,True,False,False
81,82.1724583333333,-8.33761111111111,False,False,False,True,False,False
82,288.307833333333,-30.6133611111111,False,False,False,False,True,False
83,289.980708333333,-37.1736111111111,False,False,False,False,True,False
84,86.2710833333333,-8.32225,False,False,False,True,False,False
85,2.47254166666667,-41.7746944444444,False,False,False,True,False,False
86,4.79679166666667,-41.7408333333333,False,False,False,True,False,False
87,2.65133333333333,-41.77575,False,False,False,True,False,False
88,329.626666666667,-4.70961111111111,False,False,False,True,False,False
89,127.604791666667,-4.47947222222222,False,False,False,True,False,False
90,134.120916666667,-4.48344444444444,False,False,False,True,False,False
91,125.789958333333,-18.9374444444444,False,False,False,True,False,False
92,325.467833333333,-5.22158333333333,False,False,False,True,False,False
93,130.386875,-12.1056111111111,False,False,False,True,False,False
94,328.822708333333,-3.16008333333333,False,False,False,True,False,False
95,240.213458333333,-17.4878611111111,False,False,False,False,True,False
96,244.389125,-14.7546944444444,False,False,False,False,True,False
97,106.953625,-57.3074166666667,False,False,False,True,False,False
98,127.115291666667,-17.65375,False,False,False,True,False,False
99,120.106166666667,-52.2803611111111,False,False,False,True,False,False
100,315.831541666667,-36.8844444444444,False,False,False,False,True,False
101,312.307458333333,-37.9824166666667,False,False,False,False,True,False
102,312.12875,-33.3918888888889,False,False,False,False,True,False
103,311.398916666667,-31.7827222222222,False,False,False,False,True,False
104,309.34025,-31.4901666666667,False,False,False,False,True,False
105,64.6884583333333,-8.08311111111111,False,False,False,True,False,False
106,330.068416666667,-37.2237777777778,False,False,False,True,False,False
107,61.205375,-3.56663888888889,False,False,False,True,False,False
108,333.308916666667,-38.7210277777778,False,False,False,True,False,False
109,326.943583333333,-35.6677222222222,False,False,False,True,False,False
110,319.936958333333,-18.5619722222222,False,False,False,True,False,False
111,303.770208333333,-31.9838333333333,False,False,False,False,True,False
112,319.083125,-17.7437222222222,False,False,False,True,False,False
113,300.186375,-32.6564166666667,False,False,False,False,True,False
114,307.923666666667,-37.2791111111111,False,False,False,False,True,False
115,165.871083333333,-16.4278333333333,False,False,False,True,False,False
116,301.685958333333,-31.5320833333333,False,False,False,False,True,False
117,89.1165,-12.0066666666667,False,False,False,True,False,False
118,330.928208333333,-12.9088888888889,False,False,False,True,False,False
119,304.923541666667,-39.7206666666667,False,False,False,False,True,False
120,86.412125,-8.38169444444445,False,False,False,True,False,False
121,305.060333333333,-35.2266666666667,False,False,False,False,True,False
122,132.107083333333,-16.6578055555556,False,False,False,True,False,False
123,300.777416666667,-34.2816944444444,False,False,False,False,True,False
124,324.061625,-13.0999166666667,False,False,False,True,False,False
125,125.923875,-4.43127777777778,False,False,False,True,False,False
126,122.792041666667,-52.9542222222222,False,False,False,True,False,False
127,308.669166666667,-38.9301666666667,False,False,False,False,True,False
128,87.2186666666666,-0.936666666666667,False,False,False,True,False,False
129,67.97,-6.41452777777778,False,False,False,True,False,False
130,98.60375,-19.1396944444444,False,False,False,True,False,False
131,95.6122916666666,-20.0096666666667,False,False,False,True,False,False
132,320.13825,-30.8374166666667,False,False,False,True,False,False
133,331.509541666667,-37.5707222222222,False,False,False,True,False,False
134,288.374166666667,-35.704,False,False,False,False,True,False
135,298.093916666667,-32.1296944444444,False,False,False,False,True,False
136,287.440375,-39.9253611111111,False,False,False,False,True,False
137,287.340625,-23.2396388888889,False,False,False,False,True,False
138,289.926125,-19.71225,False,False,False,False,True,False
139,299.822833333333,-37.0296388888889,False,False,False,False,True,False
140,294.955541666667,-34.2221666666667,False,False,False,False,True,False
141,289.227041666667,-39.0050555555556,False,False,False,False,True,False
142,296.014708333333,-31.5648611111111,False,False,False,False,True,False
143,290.303333333333,-21.3751388888889,False,False,False,False,True,False
144,302.018708333333,-37.5632222222222,False,False,False,False,True,False
145,288.13125,-18.9568055555556,False,False,False,False,True,False
146,295.48025,-35.8608055555556,False,False,False,False,True,False
147,288.833041666667,-22.3125833333333,False,False,False,False,True,False
148,288.815625,-29.8456666666667,False,False,False,False,True,False
