exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
90.0,i,16.0070833333333,-12.96775,DELVE field: 12590-03-i,956355
90.0,z,297.083541666667,-34.8203055555556,DELVE field: 12890-01-z,1035467
90.0,i,11.6205833333333,-17.0435277777778,DELVE field: 12536-03-i,956349
90.0,i,5.838375,-11.8338055555556,DELVE field: 12617-02-i,956341
300.0,i,0.319666666666667,-39.1398333333333,DELVE field: 100306-03-i,956334
90.0,i,80.7980833333333,-7.41833333333333,DELVE field: 5775-04-i,957937
90.0,i,86.38825,-10.2146666666667,DELVE field: 5799-02-i,957923
90.0,i,10.4473333333333,-14.38225,DELVE field: 12573-01-i,956294
300.0,i,2.555,-39.0972222222222,DELVE field: 100307-05-i,956295
90.0,i,6.771875,-16.9519166666667,DELVE field: 12539-01-i,956292
90.0,i,127.0005,-2.91436111111111,DELVE field: 15615-02-i,956841
90.0,i,155.722875,-20.9210555555556,DELVE field: 7055-02-i,956835
90.0,i,97.07775,-20.0256111111111,DELVE field: 9527-03-i,956743
90.0,i,119.195833333333,-5.38675,DELVE field: 9275-03-i,957957
90.0,i,59.3245416666667,-9.82219444444444,DELVE field: 8523-04-i,956650
90.0,i,76.4051666666667,-8.31391666666667,DELVE field: 5710-04-i,957942
90.0,i,115.577958333333,-2.01627777777778,DELVE field: 9280-03-i,957955
90.0,i,6.74370833333333,-10.4603055555556,DELVE field: 12639-02-i,956342
90.0,i,22.02075,-8.77833333333333,DELVE field: 12650-03-i,956621
90.0,i,86.3889166666667,-11.0889722222222,DELVE field: 5812-04-i,957933
90.0,i,79.4367083333333,-6.49697222222222,DELVE field: 5753-04-i,957938
90.0,i,121.591416666667,-13.0649722222222,DELVE field: 14327-03-i,957949
90.0,z,303.556708333333,-36.4101666666667,DELVE field: 12941-01-z,1035485
90.0,i,83.59225,-6.5565,DELVE field: 5780-02-i,957918
300.0,i,7.29575,-39.1024166666667,DELVE field: 100309-04-i,957895
300.0,i,2.56475,-36.4441388888889,DELVE field: 100313-05-i,957917
300.0,i,4.79691666666667,-41.7745277777778,DELVE field: 100302-07-i,957912
300.0,i,2.56233333333333,-36.5096666666667,DELVE field: 100313-02-i,957914
